STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,COMMENT_TS,UNIT_MULT,DATA_SOURCE,OBS_CONF,OBS_VALUE,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ARB,WB_WDI_EG_EGY_PRIM_PP_KD,_T,_T,_T,MJ_GDP_PPP_K_2017,_Z,_Z,_Z,2015,_Z,NUMBER,2,WB_WDI,P1Y,Energy intensity level of primary energy (MJ/$2021 PPP GDP),0,WB_WDI,PU,5.0819370646120605,A,Annual,Arab World,Energy intensity level of primary energy (MJ/$2017 PPP GDP),Total,All age ranges or no breakdown by age,Total,"Megajoules per unit of GDP, 2017 constant PPP",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CSS,WB_WDI_EG_EGY_PRIM_PP_KD,_T,_T,_T,MJ_GDP_PPP_K_2017,_Z,_Z,_Z,2015,_Z,NUMBER,2,WB_WDI,P1Y,Energy intensity level of primary energy (MJ/$2021 PPP GDP),0,WB_WDI,PU,10.533789054138923,A,Annual,Caribbean small states,Energy intensity level of primary energy (MJ/$2017 PPP GDP),Total,All age ranges or no breakdown by age,Total,"Megajoules per unit of GDP, 2017 constant PPP",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CEB,WB_WDI_EG_EGY_PRIM_PP_KD,_T,_T,_T,MJ_GDP_PPP_K_2017,_Z,_Z,_Z,2015,_Z,NUMBER,2,WB_WDI,P1Y,Energy intensity level of primary energy (MJ/$2021 PPP GDP),0,WB_WDI,PU,3.8093164430197857,A,Annual,Central Europe and the Baltics,Energy intensity level of primary energy (MJ/$2017 PPP GDP),Total,All age ranges or no breakdown by age,Total,"Megajoules per unit of GDP, 2017 constant PPP",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EAR,WB_WDI_EG_EGY_PRIM_PP_KD,_T,_T,_T,MJ_GDP_PPP_K_2017,_Z,_Z,_Z,2015,_Z,NUMBER,2,WB_WDI,P1Y,Energy intensity level of primary energy (MJ/$2021 PPP GDP),0,WB_WDI,PU,4.364638995988847,A,Annual,Early-demographic dividend,Energy intensity level of primary energy (MJ/$2017 PPP GDP),Total,All age ranges or no breakdown by age,Total,"Megajoules per unit of GDP, 2017 constant PPP",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VUT,WB_WDI_EG_EGY_PRIM_PP_KD,_T,_T,_T,MJ_GDP_PPP_K_2017,_Z,_Z,_Z,2011,_Z,NUMBER,2,WB_WDI,P1Y,Energy intensity level of primary energy (MJ/$2021 PPP GDP),0,WB_WDI,PU,4.22,A,Annual,Vanuatu,Energy intensity level of primary energy (MJ/$2017 PPP GDP),Total,All age ranges or no breakdown by age,Total,"Megajoules per unit of GDP, 2017 constant PPP",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VEN,WB_WDI_EG_EGY_PRIM_PP_KD,_T,_T,_T,MJ_GDP_PPP_K_2017,_Z,_Z,_Z,2011,_Z,NUMBER,2,WB_WDI,P1Y,Energy intensity level of primary energy (MJ/$2021 PPP GDP),0,WB_WDI,PU,5.08,A,Annual,"Venezuela, RB",Energy intensity level of primary energy (MJ/$2017 PPP GDP),Total,All age ranges or no breakdown by age,Total,"Megajoules per unit of GDP, 2017 constant PPP",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VNM,WB_WDI_EG_EGY_PRIM_PP_KD,_T,_T,_T,MJ_GDP_PPP_K_2017,_Z,_Z,_Z,2011,_Z,NUMBER,2,WB_WDI,P1Y,Energy intensity level of primary energy (MJ/$2021 PPP GDP),0,WB_WDI,PU,4.18,A,Annual,Vietnam,Energy intensity level of primary energy (MJ/$2017 PPP GDP),Total,All age ranges or no breakdown by age,Total,"Megajoules per unit of GDP, 2017 constant PPP",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PSE,WB_WDI_EG_EGY_PRIM_PP_KD,_T,_T,_T,MJ_GDP_PPP_K_2017,_Z,_Z,_Z,2011,_Z,NUMBER,2,WB_WDI,P1Y,Energy intensity level of primary energy (MJ/$2021 PPP GDP),0,WB_WDI,PU,2.61,A,Annual,West Bank and Gaza,Energy intensity level of primary energy (MJ/$2017 PPP GDP),Total,All age ranges or no breakdown by age,Total,"Megajoules per unit of GDP, 2017 constant PPP",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,YEM,WB_WDI_EG_EGY_PRIM_PP_KD,_T,_T,_T,MJ_GDP_PPP_K_2017,_Z,_Z,_Z,2011,_Z,NUMBER,2,WB_WDI,P1Y,Energy intensity level of primary energy (MJ/$2021 PPP GDP),0,WB_WDI,PU,3.03,A,Annual,"Yemen, Rep.",Energy intensity level of primary energy (MJ/$2017 PPP GDP),Total,All age ranges or no breakdown by age,Total,"Megajoules per unit of GDP, 2017 constant PPP",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZMB,WB_WDI_EG_EGY_PRIM_PP_KD,_T,_T,_T,MJ_GDP_PPP_K_2017,_Z,_Z,_Z,2011,_Z,NUMBER,2,WB_WDI,P1Y,Energy intensity level of primary energy (MJ/$2021 PPP GDP),0,WB_WDI,PU,8.28,A,Annual,Zambia,Energy intensity level of primary energy (MJ/$2017 PPP GDP),Total,All age ranges or no breakdown by age,Total,"Megajoules per unit of GDP, 2017 constant PPP",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Number (real number),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
